"price","retail_price","units_sold","rating","uses_ad_boosts","rating_count","rating_five_count","rating_four_count","rating_three_count","rating_two_count","rating_one_count","merchant_rating_count","merchant_rating"
1.74,2,100,4.25,1,12,7,3,1,0,1,18138,3.83151394861616
5.65,6,1000,4.06,0,301,156,70,34,18,23,7034,4.06027864657378
14,76,100,4.06,0,31,17,4,6,3,1,51369,3.96826880024918
5.65,6,1000,4.37,1,217,137,42,24,9,5,44837,4.0659053906372
8,7,1000,3.81,0,443,215,76,65,29,58,3460,3.87080924855491
2.66,3,5000,3.44,0,1136,418,187,201,133,197,223392,4.30636280618823
9,8,10000,3.8,0,1231,555,240,211,87,138,10600,3.86754716981132
11,10,1000,4.16,0,274,162,47,34,10,21,13946,4.00014341029686
8,17,100,2.75,1,8,2,0,3,0,3,47981,4.02536420666514
14,12,5000,4.06,1,643,365,109,73,33,63,80093,4.00669222029391
5.8,8,100,3.83,1,6,3,1,1,0,1,16741,3.92085299563945
13,13,1000,4.16,0,138,82,27,10,7,12,12913,3.9813366374971
9,81,50000,4.26,0,5359,3111,1172,650,204,222,59198,4.10505422480489
7,68,10,1.5,0,2,0,0,0,1,1,397,3.85894206549118
12,14,100,3.79,1,24,11,6,2,1,4,196,4.02040816326531
3.69,40,100,3.53,0,59,22,11,12,4,10,10917,4.3648438215627
5,5,10000,3.82,1,3208,1467,607,558,241,335,27055,4.15139530585844
5.84,56,100,3.28,0,36,11,4,11,4,6,40943,4.01748772683975
16,14,10,3,0,3,0,2,0,0,1,31,3.54838709677419
13,50,1000,4.03,0,855,451,165,120,51,68,9136,4.08570490367776
9,8,10000,3.18,0,1783,535,289,344,189,426,10474,3.90853542104258
7,6,100,3.8,0,61,28,11,12,2,8,139607,4.21638599783678
11,20,100,3.43,0,14,5,3,2,1,3,3120,4.17467948717949
5.84,11,1000,4.19,0,307,171,71,35,12,18,10377,4.17278596896984
1,11,1000,3.8,1,5,3,0,1,0,1,8197,3.85811882395999
11,60,1000,3.38,1,37,15,3,9,1,9,703,3.9601706970128
9,8,5000,4.03,1,889,464,178,126,52,69,16013,4.10884906013864
6,56,1000,3.5,1,938,349,171,173,88,157,13309,3.87669997745886
1,10,100,3.56,0,52,22,8,9,3,10,91631,3.83793694273772
9,8,5000,4.06,0,743,400,142,103,45,53,20681,3.99937140370388
6,6,100,4,0,8,5,0,1,2,0,127,3.8740157480315
11,68,1000,4.13,0,211,120,37,31,8,15,11597,4.21522807622661
7,6,50,4,0,4,3,0,0,0,1,34,4.35294117647059
5,38,50,5,1,2,2,0,0,0,0,9,3.66666666666667
2.72,3,100,3.1,1,20,6,4,2,2,6,14482,4.00158817842839
5.87,11,1000,3.91,1,209,100,41,34,17,17,6187,4.39130434782609
11,10,5000,3.72,0,1008,447,201,135,81,144,61895,4.26800226189514
8,10,100,2.71,0,7,1,1,2,1,2,224,3.89285714285714
14,67,1000,3.81,0,187,84,40,28,14,21,11900,4.15075630252101
2,9,100,3.47,0,32,11,6,5,7,3,4856,4.16762767710049
8,7,10000,3.93,1,1670,823,340,250,89,168,66644,4.13758177780445
5.79,30,1000,3.41,1,212,73,49,23,25,42,21012,4.18984389872454
8,22,100,3.74,1,47,24,5,6,6,6,50593,3.87676160733698
4.94,5,10000,3.93,1,1331,659,255,199,101,117,55670,4.12148374348841
8,7,10000,3.82,0,2520,1220,433,365,203,299,8821,3.87200997619318
11,10,100,3.46,1,50,20,7,8,6,9,225438,4.30112048545498
8,33,10,5,0,0,NA,NA,NA,NA,NA,1496,4.16978609625668
9,33,50,4.5,1,4,2,2,0,0,0,8397,4.12028105275694
7,6,100,4.26,0,53,30,14,5,1,3,2055,3.83795620437956
11,10,10000,4.24,0,1045,644,183,114,38,66,9200,4.28967391304348
8,92,100,3.56,0,16,6,5,0,2,3,7076,3.96806105144149
5.83,5,10000,4.22,1,2055,1162,488,212,83,110,126370,4.14695734747171
8,7,1000,3.42,0,373,144,57,60,35,77,1322,3.96520423600605
5.77,5,100,4,1,4,1,2,1,0,0,8996,3.91574032903513
5.9,5,10000,3.64,0,1933,867,298,299,151,318,2366,3.95181741335587
6,20,100,3.08,0,13,4,2,2,1,4,2776,3.93119596541787
7,6,50000,4.41,1,17444,11548,3191,1632,507,566,126370,4.14695734747171
8,7,10000,3.7,1,1404,593,278,232,124,177,4178,3.93752991862135
12,11,1000,3.81,0,341,163,63,48,21,46,2248,4.15035587188612
5.78,8,20000,4,1,3975,2054,774,576,242,329,6555,4.18413424866514
12,17,5000,3.94,0,387,189,76,67,21,34,1288,3.97826086956522
11,10,20000,4.07,1,3070,1635,642,392,177,224,12974,3.9657006320333
8,51,100,4.29,0,31,19,5,5,1,1,5846,3.83253506671228
11,10,100,3.46,1,50,20,7,8,6,9,225438,4.30112048545498
5.77,48,100000,4.1,0,20744,11184,4152,2919,1174,1315,330405,4.06734764909732
9,8,20000,3.7,0,3820,1726,654,568,324,548,15748,4.06464312928626
1.72,2,100,3.77,1,30,15,3,5,4,3,32168,3.88454364585924
1.86,9,100,3.57,1,42,17,9,4,5,7,7248,3.94301876379691
14,92,100,4.54,1,13,10,2,0,0,1,54,4.18518518518519
3.69,4,1000,3.64,0,212,95,33,32,16,36,1559,4.03912764592688
5.79,42,1000,3.32,0,121,36,24,23,19,19,5083,3.94747196537478
11,30,100,4.11,1,28,17,4,3,1,3,9541,4.21046011948433
9,8,100,3.18,1,72,17,19,12,8,16,288,3.72916666666667
6,8,10000,3.96,0,1338,685,257,187,72,137,54504,3.80168428005284
20,17,100,2.8,1,15,2,3,5,0,5,67,3.29850746268657
5.66,5,5000,3.89,0,1161,558,242,159,75,127,99283,4.28559773576544
8,65,100,3.97,0,29,18,1,5,1,4,239,3.88284518828452
8,7,1000,3.61,1,668,254,155,102,61,96,40616,4.09855721883002
6,6,1000,3.82,1,134,62,26,23,6,17,670,3.84477611940299
11,10,5000,3.96,0,1556,743,338,258,110,107,4610,4.2527114967462
7,6,1000,4.2,1,107,66,13,18,3,7,247,3.94331983805668
11,10,10000,3.77,0,1694,725,376,272,112,209,13946,4.00014341029686
5.81,30,100,2.61,0,18,3,2,5,1,7,26473,3.8947606995807
14,12,10000,3.93,0,2946,1427,614,452,180,273,32858,3.88553776857995
5,51,10,5,0,0,NA,NA,NA,NA,NA,295,3.98983050847458
5,5,100,4.3,1,10,6,2,1,1,0,10799,4.16797851652931
11,10,1000,4.12,0,249,143,48,24,12,22,8989,3.85193013683391
12,67,10,3.67,0,3,2,0,0,0,1,238,4.00840336134454
5.68,5,10,4.5,0,2,1,1,0,0,0,160,4.5125
11,10,100,4,1,12,7,1,2,1,1,546,4.01465201465201
17,15,10000,4.16,0,3040,1782,565,332,123,238,12881,4.35261237481562
7,43,100,3.71,0,21,10,5,0,2,4,9078,3.87816699713593
12,85,50,4.75,1,4,3,1,0,0,0,57,4.17543859649123
7,6,100,5,0,2,2,0,0,0,0,9703,3.97073070184479
7,33,50,3,0,2,0,1,0,1,0,25222,4.00154626913012
11,59,1000,4.11,0,135,75,24,19,10,7,6715,4.05718540580789
12,43,100,3.59,0,27,7,9,7,1,3,3237,3.94840902069818
13,51,5000,3.61,0,127,59,16,20,7,25,17244,3.946416144746
2.72,9,1,5,0,0,NA,NA,NA,NA,NA,378,3.5978835978836
6,6,20000,3.99,1,1600,809,322,238,100,131,16013,4.10884906013864
9,56,100,4.03,1,30,17,6,2,1,4,49,3.71428571428571
5,5,50,5,0,1,1,0,0,0,0,4,3.75
5.86,5,1000,3.73,0,150,71,23,23,11,22,9308,3.99301675977654
2,2,10000,3.99,1,980,520,180,120,67,93,12309,4.04517020066618
7,6,5000,4.38,0,996,654,178,94,32,38,130598,3.94679091563424
5.66,6,100,3.08,0,13,3,3,3,0,4,2782,4.06901509705248
13,17,5000,4.11,0,792,450,150,88,35,69,4571,3.910741632028
8,7,5000,3.6,1,1254,500,241,207,126,180,88193,4.08089077364417
11,10,1000,3.78,1,299,120,73,55,22,29,433,3.89607390300231
8,7,20000,4.05,0,8904,4640,1964,1121,493,686,19221,4.16809739347589
16,76,100,3.53,1,38,15,9,2,5,7,1088,4.27205882352941
11,10,100,4.6,0,5,3,2,0,0,0,38936,4.12299671255393
11,10,5000,3.72,0,1008,447,201,135,81,144,61895,4.26800226189514
8,7,20000,4.16,0,6860,3906,1326,869,343,416,43676,4.28361113655097
14,12,1000,4.04,1,481,267,86,60,18,50,26473,3.8947606995807
7,6,100,3.6,0,25,10,4,5,3,3,483,4.15527950310559
12,11,20000,3.89,1,2294,1099,449,362,154,230,59903,4.15366509189857
7,50,1000,3.49,0,49,16,11,10,5,7,1290,4.01162790697674
2,56,100,3.07,1,28,11,3,1,3,10,4435,3.69605411499436
6,16,100,3.11,1,27,6,6,5,5,5,9177,3.87403290835785
8,7,1000,4.07,1,267,148,44,40,15,20,2745,4.12568306010929
8,84,20000,3.96,0,8960,4468,1850,1277,583,782,48654,4.2049163480906
8,25,5000,4,0,32,19,5,1,3,4,13127,4.12394301820675
11,22,1000,3.97,1,359,180,74,49,28,28,4508,4.33074534161491
3.66,4,5000,3.19,0,1080,327,170,211,128,244,10600,3.86754716981132
1.68,2,100,3.67,1,12,6,2,1,0,3,1047,3.95606494746896
13,11,100,2.5,0,2,0,1,0,0,1,31,3.7741935483871
13,11,1000,3.82,1,11,5,3,1,0,2,80093,4.00669222029391
11,16,100,2.92,1,12,2,1,6,0,3,18,3.66666666666667
7,9,1000,3.75,0,219,101,36,38,15,29,30643,4.15272656071533
4.81,76,10000,4.16,0,3135,1695,721,416,140,163,24564,3.92887966129295
9,8,5000,4.29,0,761,476,128,90,34,33,5819,4.15191613679326
18,115,100,3.68,0,177,73,36,31,12,25,300,4.15666666666667
7,6,5000,3.63,1,601,245,102,121,55,78,12033,4.02476522895371
16,14,10,3,0,3,0,2,0,0,1,31,3.54838709677419
5,8,1000,3.06,1,31,9,5,5,3,9,8484,3.99516737388025
1.68,2,1000,3.76,1,51,20,13,10,2,6,365,3.94246575342466
7,6,100,3.81,1,21,8,4,6,3,0,44,3.77272727272727
6,7,50,2.67,0,3,1,0,0,1,1,1374,4.0589519650655
13,19,1000,3.76,1,151,70,31,16,12,22,171,3.94152046783626
11,89,100,3.46,0,24,8,5,6,0,5,73595,4.38569196276921
7,6,5000,3.29,0,1042,384,146,158,98,256,3460,3.87080924855491
12,11,100,2,0,3,0,1,0,0,2,5301,4.00113186191285
6,17,100,4.14,0,93,50,18,15,8,2,629,4.16693163751987
6,17,5000,3.28,0,449,165,50,83,49,102,7851,4.21627818112342
8,7,100,3.89,1,9,5,2,0,0,2,88193,4.08089077364417
8,7,100,3.14,0,29,9,4,6,2,8,89,4.06741573033708
11,84,1000,3.98,0,792,398,163,112,54,65,6460,4.14102167182663
6,22,5000,4.04,0,548,305,87,78,29,49,7076,3.96806105144149
11,10,1000,3.76,1,168,77,32,26,7,26,1452,3.73553719008264
9,8,100,4.16,1,31,17,7,4,1,2,2869,3.97455559428372
8,26,100,3.07,0,14,3,2,5,1,3,43,3.18604651162791
3.78,4,1000,3.35,1,79,30,13,11,5,20,105015,3.78960148550207
8,7,100,3.89,0,9,5,2,0,0,2,32724,4.10111844517785
6,145,100,3.83,1,52,23,13,5,6,5,2602,4.15949269792467
8,17,1000,3.96,0,288,133,75,39,18,23,892,3.90134529147982
9,36,20000,4.09,0,4345,2341,878,607,230,289,49327,4.16834593630263
5.65,5,5000,4.06,1,998,526,202,147,46,77,92654,4.25172145832884
3,3,100,3.4,0,15,5,3,2,3,2,268,3.89179104477612
8,10,50,3.8,0,5,3,0,1,0,1,129,3.7906976744186
5.74,59,1000,3.99,0,71,41,7,10,7,6,3161,4.18158810503005
5,5,10,5,0,0,NA,NA,NA,NA,NA,129,3.83720930232558
8,7,20000,3.61,1,5641,2245,1059,999,562,776,70773,4.03831969818999
3.67,4,10000,4.31,1,2072,1314,374,208,73,103,11333,4.39574693373334
7,50,1000,3.49,0,49,16,11,10,5,7,1290,4.01162790697674
8,7,5000,3.69,1,894,396,161,128,78,131,3209,4.27859146151449
11,10,1000,3.64,0,357,155,65,51,25,61,39381,4.06632640105635
8,7,50,4,0,6,2,2,2,0,0,19281,4.1598983455215
22,169,1000,3.38,1,542,195,93,92,49,113,9341,4.14741462370196
8,7,10000,3.7,1,2441,1070,460,373,181,357,39381,4.06632640105635
19,26,1000,3.01,1,205,57,25,43,23,57,5048,4.15966719492868
11,10,1000,3.67,0,215,94,32,40,23,26,2377,4.06352545225074
6,6,1000,4.17,0,505,295,108,36,23,43,2996,4.34879839786382
7,56,5000,4.16,1,1378,747,317,172,66,76,25222,4.00154626913012
7,6,10000,3.84,1,1978,951,368,285,144,230,7069,4.05502899985854
8,11,100,2.81,0,21,5,2,4,4,6,31,3.58064516129032
14,26,100,3.61,0,72,31,14,8,6,13,7385,4.08733920108328
6,6,100,3.67,1,27,9,8,5,2,3,4705,4.04059511158342
11,12,5000,3.45,0,1045,383,181,188,109,184,1490,3.94630872483221
6,21,5000,3.18,0,573,174,96,97,69,137,9827,4.11386995013738
7,47,5000,4.02,0,556,308,90,69,39,50,35262,3.93948159491804
6,76,10000,4.29,1,1741,1074,324,191,73,79,28159,4.18338719414752
7,16,10000,3.71,0,1792,802,331,255,146,258,1702,3.90716803760282
9,65,1000,3.7,1,162,70,32,26,10,24,3373,3.96471983397569
8,10,50,5,0,2,2,0,0,0,0,127,3.8740157480315
11,84,100,3.61,1,18,6,5,4,0,3,435,3.8551724137931
8,7,100000,3.76,1,11062,4663,2418,1868,842,1271,108048,4.05250444247001
18,17,10000,4.17,0,3229,1834,691,340,140,224,3309,4.25052886068299
11,30,10,5,0,0,NA,NA,NA,NA,NA,22621,4.29512399982317
4.83,51,50,2,1,1,0,0,0,1,0,57,3.82456140350877
8,7,100,4.57,1,7,5,1,1,0,0,610,3.81475409836066
5.85,13,1000,3.16,1,602,186,104,97,52,163,25631,3.89473684210526
11,10,100,3.96,1,25,17,0,2,2,4,794,4.27707808564232
9,34,100,4.44,1,18,13,3,0,1,1,1385,4.12490974729242
15,101,1000,3.91,0,646,334,106,94,41,71,29044,4.16027406693293
5,5,1000,4.06,0,197,109,37,25,6,20,2610,4.15823754789272
8,7,100,3.52,1,23,9,3,4,5,2,139223,3.93358137664035
5.69,5,5000,4.26,0,798,469,174,88,30,37,2199,4.23647112323784
6,6,100,4,0,8,5,0,1,2,0,127,3.8740157480315
8,8,5000,4.03,1,579,295,119,87,42,36,23832,4.02043470963411
6,41,5000,4.1,1,939,496,209,124,49,61,9926,3.94922425952045
11,89,100,3.77,0,48,22,8,9,3,6,104269,4.25328717068352
1.72,56,100,4,1,6,3,1,1,1,0,1338,4.09715994020927
5.78,26,10000,3.84,0,1426,659,287,219,112,149,3549,3.98224852071006
11,10,5000,4.23,0,1109,658,217,131,33,70,5781,4.27486594014876
12,11,1000,3.67,0,646,261,140,109,43,93,870,3.89195402298851
8,42,1000,3.5,0,409,158,67,74,41,69,8433,3.87596347681727
1.89,2,100,3.46,0,39,16,8,2,4,9,540,4.10555555555556
12,17,1000,4.21,0,103,60,20,13,5,5,20478,3.91034280691474
6,6,10000,3.6,1,569,243,90,88,59,89,7314,3.93820071096527
4,4,5000,4.28,1,1754,1064,353,184,65,88,15538,4.15619770884284
7,33,100,2.75,0,8,3,0,1,0,4,41623,3.91744948706244
8,7,100,3.9,0,21,9,7,2,0,3,6126,4.31831537708129
5,5,100,4.5,0,6,4,1,1,0,0,10600,3.86754716981132
5.84,5,10000,3.45,0,1312,491,217,228,145,231,32168,3.88454364585924
8,13,10000,3.99,0,2753,1428,522,385,171,247,33148,3.97562447206468
19,21,5000,4.09,0,1561,897,289,149,74,152,9116,4.09291355857832
11,10,100,3.54,1,13,5,3,1,2,2,885,4.15593220338983
3.85,10,50,3.33,0,3,1,1,0,0,1,7676,4.03947368421053
9,48,1000,4.01,1,135,69,25,23,10,8,6632,3.74879372738239
8,9,7,5,0,0,NA,NA,NA,NA,NA,108048,4.05250444247001
11,10,1000,4,0,221,103,59,33,7,19,73119,4.00426701678086
6,13,20000,3.85,1,1124,572,183,153,62,154,15076,4.08496948792783
5,33,100000,3.98,0,13789,6862,2836,2131,901,1059,366898,4.0360808726131
16,14,100,4.05,1,82,43,18,11,2,8,514,4.21789883268483
13,11,100,3.91,0,11,7,1,0,1,2,38,3.47368421052632
9,34,100,3.14,1,28,8,6,3,4,7,1472,3.53464673913043
7,6,100,3.64,1,11,4,4,0,1,2,855,4.26432748538012
6,6,20000,3.96,0,4082,2138,667,637,255,385,45964,3.99865111826647
8,7,10000,3.71,1,903,378,190,143,80,112,12974,3.9657006320333
4.7,17,100,4,1,10,4,3,2,1,0,80093,4.00669222029391
4,4,10000,3.45,1,1412,504,299,211,129,269,21412,4.14926209602092
8,7,5000,3.57,1,309,111,64,63,33,38,5365,3.94594594594595
16,59,1000,3.5,1,222,81,44,42,14,41,3743,3.89714133048357
11,10,100,3.29,0,38,13,5,8,4,8,168,3.73214285714286
5.77,5,10000,3.85,0,2892,1352,574,443,227,296,19735,3.9750696731695
8,84,10000,4.19,0,3679,2077,783,446,192,181,80713,4.18781361119027
14,13,100,4.5,0,113,82,17,7,3,4,7627,4.04772518683624
6,26,100,3.25,0,12,2,2,6,1,1,99,3.64646464646465
13,11,100,4,1,4,3,0,0,0,1,45151,4.03295608070696
11,50,20000,4.22,0,2878,1646,632,324,126,150,36361,3.96752014521053
4,4,5000,3.39,0,783,268,129,155,102,129,32168,3.88454364585924
5.77,16,1000,3.72,0,687,281,151,114,61,80,6570,4.22009132420091
9,50,20000,4.17,0,2440,1415,448,305,116,156,15106,4.007149477029
11,16,10000,3.75,1,1586,716,284,260,118,208,120781,4.15239979798147
7,6,50,4,0,4,3,0,0,0,1,34,4.35294117647059
9,22,1000,4.24,1,131,79,25,14,6,7,4516,4.23184233835252
5.81,34,1000,3.54,1,54,19,8,17,3,7,80093,4.00669222029391
11,59,100,3.66,0,56,20,14,10,7,5,4811,4.19455414674704
11,10,20000,3.69,0,2160,985,356,320,156,343,5281,4.023291043363
8,7,5000,3.53,1,876,355,168,112,70,171,2510,3.90358565737052
11,10,10000,3.65,0,2422,1056,419,375,190,382,78616,4.3104329907398
6,6,5000,4.07,0,844,440,187,114,44,59,10474,3.90853542104258
5,6,5000,4.07,0,824,441,165,112,43,63,32778,4.04835560436878
6,6,5000,3.92,1,609,306,112,88,41,62,1411,3.92345854004252
8,7,5000,4.02,1,1061,536,212,180,63,70,42919,4.10596705421841
13,26,100,4.06,0,113,65,16,15,8,9,3682,4.46306355241716
11,10,100,3.73,0,22,9,5,4,1,3,1746,4.02405498281787
5.65,25,10000,3.65,0,418,180,74,65,36,63,23465,4.01760068186661
4.83,51,50,2,1,1,0,0,0,1,0,57,3.82456140350877
8,16,10000,4.04,0,1589,770,391,248,77,103,3665,4.19427012278308
3,3,100,4.29,1,58,36,13,3,2,4,1050,3.88380952380952
8,7,50,3.88,0,8,5,1,0,0,2,334,3.73652694610778
13,14,10000,3.74,0,1938,870,366,287,159,256,5466,3.94109037687523
11,88,5000,4.1,0,1514,819,323,188,71,113,35751,4.02215322648318
7,22,10,3.5,0,4,1,1,1,1,0,1531,3.76028739386022
5,5,5000,3.97,0,538,287,90,69,41,51,6876,3.77545084351367
6,6,1000,3.84,0,309,146,53,51,32,27,24564,3.92887966129295
13,11,100,4,1,4,3,0,0,0,1,45151,4.03295608070696
3,3,20000,4.12,1,2826,1573,546,374,147,186,55670,4.12148374348841
12,26,5000,4.16,0,663,385,119,84,28,47,18029,4.10061567474624
11,10,100,3.09,1,22,5,5,4,3,5,16487,3.96761084490811
8,118,10000,3.85,0,2519,1158,545,370,181,265,23485,4.02469661486055
5.85,13,1000,3.16,1,602,186,104,97,52,163,25631,3.89473684210526
6,6,100,3.07,0,55,17,6,11,6,15,23161,3.93057294590044
9,57,1000,3.63,0,146,61,32,15,14,24,14442,4.14305497853483
8,7,1000,3.6,0,141,64,22,19,7,29,3771,3.88146380270485
5,5,100,5,0,2,2,0,0,0,0,5316,4.22460496613995
8,7,50,3.71,0,7,4,0,1,1,1,211,3.54502369668246
9,8,20000,3.94,1,4304,2089,901,650,287,377,18877,4.07988557503841
8,7,10000,3.32,1,1061,351,192,184,110,224,88193,4.08089077364417
4.81,5,100,5,1,0,NA,NA,NA,NA,NA,6,4.33333333333333
14,104,100,3.44,1,71,20,17,19,4,11,151,3.76158940397351
8,7,50,3.88,0,8,5,1,0,0,2,334,3.73652694610778
8,26,100,5,0,13,13,0,0,0,0,138,3.65942028985507
7,81,100,3.57,1,23,10,2,5,3,3,7602,3.8566166798211
3,3,100,3.67,0,12,4,3,3,1,1,38100,4.29146981627297
8,8,1000,3.63,0,187,80,33,31,11,32,1761,4.08972174900625
8,10,100,3.5,0,6,3,0,1,1,1,117,3.78632478632479
12,11,5000,3.34,0,887,305,161,140,97,184,1021,3.68168462291871
11,22,100,2.71,1,24,6,2,5,1,10,746,4.01876675603217
8,7,100,3,1,11,3,1,3,1,3,5768,4.48439667128988
8,7,100,4.39,0,111,77,14,10,6,4,1290,4.21240310077519
6,30,1000,3.53,0,325,130,61,48,24,62,383,3.79373368146214
11,26,100,4.25,0,12,8,2,0,1,1,874,4.05491990846682
8,7,100,3.86,1,28,14,4,5,2,3,889,4.39032620922385
8,7,1000,3.58,0,605,210,144,117,56,78,21226,4.01418072175634
9,9,10000,3.74,1,2148,822,539,410,169,208,246312,4.20372535645848
14,12,10,5,0,1,1,0,0,0,0,9217,4.17304979928393
13,11,5000,3.88,1,1224,569,278,175,67,135,56745,3.98107322231034
4.84,5,100,4.09,1,57,30,12,10,0,5,16099,3.95148767004162
5,5,1000,4.11,0,94,54,16,13,2,9,10436,4.04484476811039
14,89,5000,3.43,1,647,227,134,98,64,124,5985,4.23174603174603
3,60,100,3.57,1,28,12,6,2,2,6,1500,3.952
7,6,10000,3.35,0,1786,660,264,301,162,399,3566,3.73247335950645
5,5,50000,3.93,0,7088,3367,1510,1148,469,594,11481,4.09528786691055
9,8,100,4.07,0,27,14,8,1,1,3,34975,4.33658327376698
9,8,1000,4.22,1,237,138,50,26,9,14,96838,4.2646585018278
8,11,1000,4.13,0,127,70,30,10,7,10,173,4.30635838150289
11,10,2,2,0,1,0,0,0,1,0,21307,3.99906134134322
19,17,5000,3.77,0,1163,559,212,135,77,180,15173,3.95999472747644
8,25,10000,3.65,0,2324,1009,401,358,212,344,30292,4.22758484088208
7,6,10000,3.91,0,1797,885,366,230,139,177,9938,4.12487422016502
9,8,100,3.18,1,72,17,19,12,8,16,288,3.72916666666667
12,11,5000,3.11,0,434,146,58,59,38,133,6876,3.77545084351367
8,7,100,3.9,0,21,9,7,2,0,3,6126,4.31831537708129
7,6,1000,3.19,0,245,77,44,39,19,66,9341,4.01295364522
8,17,1000,3.93,1,426,216,77,60,34,39,5807,3.98415705183399
8,7,10,5,1,0,NA,NA,NA,NA,NA,27175,3.96603495860166
11,10,20000,4.32,0,3648,2418,548,327,126,229,4448,4.29226618705036
11,30,1,5,0,0,NA,NA,NA,NA,NA,1380,4.00724637681159
3.7,47,100,3.18,1,11,4,1,1,3,2,359,3.40947075208914
14,12,5000,3.75,1,1892,780,431,317,147,217,16447,4.0304614823372
11,10,5000,4.26,1,1273,735,295,134,55,54,67171,4.10232094207322
18,16,1000,3.63,1,477,181,112,75,43,66,2116,4.14603024574669
12,118,20000,4.29,1,4266,2611,850,449,145,211,165915,4.25607690684989
14,43,1000,4.05,1,167,93,32,18,5,19,22711,3.87204438377879
8,75,50,4.33,0,3,1,2,0,0,0,4773,4.00293316572386
1.77,2,10000,4.03,1,510,267,103,67,35,38,783,4.23754789272031
3.73,9,5000,4.14,0,856,475,171,112,49,49,2293,4.14566070649804
8,22,100,3.92,0,12,7,1,2,0,2,65189,4.0496402767338
18,27,5000,4.09,1,1903,994,449,234,85,141,15855,4.05291706086408
4,4,100,4.07,1,46,23,12,6,1,4,32168,3.88454364585924
5.68,7,10000,3.89,0,1232,588,250,188,81,125,7544,4.05448038176034
14,12,5000,4.06,1,643,365,109,73,33,63,80093,4.00669222029391
1.75,6,50,3,1,2,0,1,0,1,0,2782,4.06901509705248
14,84,100,4.13,1,60,35,10,7,4,4,849,3.70789163722026
8,7,1000,2.75,1,127,29,17,19,17,45,9470,3.95681098204857
6,9,10000,4.04,0,2211,1123,468,354,117,149,55089,4.03294668627131
5.89,5,5000,3.25,0,392,127,65,69,40,91,4295,3.84959254947614
5,5,1000,3.77,1,435,191,87,69,41,47,3883,4.28817924285346
2.71,3,20000,4.03,0,7022,3502,1523,1145,416,436,151249,4.04915734980066
11,10,100,5,0,3,3,0,0,0,0,299,4.24749163879599
16,14,100,4.1,0,10,6,1,2,0,1,16803,4.15503183955246
7,26,5000,4.01,0,542,283,111,69,29,50,8242,4.21669497694734
4,4,50,1,1,1,0,0,0,0,1,254,3.51574803149606
6,6,100,3.13,1,8,3,1,1,0,3,18877,4.07988557503841
8,17,10,5,0,0,NA,NA,NA,NA,NA,8,3.625
4,4,100,4.24,1,41,25,6,7,1,2,3053,3.85849983622666
11,20,10000,3.92,0,2841,1352,636,397,185,271,12371,3.87163527604882
12,59,5000,3.47,0,371,137,64,69,40,61,3592,4.06236080178174
11,11,1000,2.99,0,228,59,38,36,32,63,5264,4.03286474164134
1.91,2,10000,4.05,0,697,385,125,81,48,58,2399,4.10546060858691
5.7,58,50000,3.45,0,8164,2936,1396,1547,970,1315,96276,4.0962337446508
8,17,5000,4.47,0,907,601,187,84,16,19,1963,4.39735099337748
